,start,end,text
30,251.6,254.7,"[u'interessiert', u'sieht', u'die', u'schwester', u'von', u'ihrem', u'peoplemagazine', u'zu', u'ihm']"
31,257.2,259.794,"['ich', 'habe', 'viele', 'schuhe', 'getragen']"
32,261.6,263.955,"['ich', 'wette', 'wenn', 'ich', 'scharf', 'nachdenke']"
33,264.04,267.555,"['kann', 'ich', 'mich', 'an', 'mein', 'erstes', 'paar', 'erinnern']"
34,266.3,268.2,"[u'er', u'kneift', u'die', u'augen', u'fest', u'zu']"
35,269.48,272.278,"['mama', 'sagte', 'die', 'tragen', 'mich', '\xfcberall', 'hin']"
36,272.48,275.313,"['sie', 'sagte', 'das', 'seien', 'meine', 'zauberschuhe']"
37,275.4,278.79,"['ok', 'forrest', 'jetzt', 'mach', 'deine', 'augen', 'auf']"
38,276.1,276.8,"[u'ss', u'ein', u'arzt']"
39,278.2,284.7,"[u's', u'der', u'etwa', u'jaehrige', u'sitzt', u'auf', u'einer', u'liege', u'und', u'starrt', u'auf', u'seine', u'beine', u'an', u'die', u'metallschienen', u'geschnallt', u'sind', u'der', u'dicke', u'arzt', u'hebt', u'ihn', u'runter']"
40,285.44,287.476,"['lauf', 'mal', 'ein', 'bisschen', 'herum']"
41,288.6,292.7,"[u'mit', u'steifen', u'knien', u'stakst', u'der', u'junge', u'an', u'einer', u'dunkelhaarigen', u'vorbei', u'die', u'auf', u'einem', u'stuhl', u'sitzt']"
42,294.2,296.111,"['wie', 'f\xfchlen', 'sich', 'die', 'an']"
43,295.8,298.1,"[u'der', u'arzt', u'hat', u'eine', u'brennende', u'zigarette', u'im', u'mundwinkel']"
44,298.96,303.397,"['seine', 'beine', 'sind', 'stark', 'mrs', 'gump', 'so', 'stark', 'wie', 'die', 'meisten']"
45,303.48,307.393,"['aber', 'er', 'hat', 'ein', 'r\xfcckgrat', 'wie', 'ein', 'politiker']"
46,307.48,310.916,"['aber', 'wir', 'machen', 'einen', 'aufrechten', 'kerl', 'aus', 'ihm', 'was', 'forrest']"
47,310.8,312.2,"[u'ss', u'der', u'kippt', u'um']"
48,313.4,317.439,"['als', 'ich', 'ein', 'baby', 'war', 'benannte', 'mama', 'mich', 'nach', 'dem', 'gro\xdfen', 'kriegshelden']"
49,317.52,320.159,"['general', 'nathan', 'bedford', 'forrest']"
50,320.24,322.549,"['sie', 'sagte', 'wir', 'w\xe4ren', 'irgendwie', 'mit', 'ihm', 'verwandt']"
51,321.6,324.0,"[u'und', u'was', u'hat', u'der', u'gemacht', u'Uebersprechen', u'ss', u'ein', u'alter', u'film', u'vom', u'general', u'der', u'aussieht', u'wie', u'forrest']"
52,322.64,327.634,"['er', 'gr\xfcndete', 'diesen', 'verein', 'namens', 'kukluxklan']"
53,327.72,330.917,"['sie', 'wickelten', 'sich', 'in', 'gew\xe4nder', 'und', 'leint\xfccher', 'ein']"
54,331.0,335.357,"['und', 'benahmen', 'sich', 'wie', 'ein', 'haufen', 'geister', 'oder', 'gespenster', 'oder', 'so', 'was']"
55,335.44,339.149,"['sie', 'machten', 'sogar', 'leint\xfccher', '\xfcber', 'ihre', 'pferde', 'und', 'ritten', 'herum']"
56,339.24,343.233,"['und', 'jedenfalls', 'so', 'bekam', 'ich', 'meinen', 'namen', 'forrest', 'gump']"
57,343.32,347.029,"['mama', 'sagte', 'forrest', 'soll', 'mich', 'daran', 'erinnern']"
58,347.12,351.477,"['dass', 'wir', 'manchmal', 'dinge', 'tun', 'die', 'einfach', 'keinen', 'sinn', 'machen']"
59,350.5,355.5,"[u's', u'auf', u'einer', u'strasse', u'an', u'der', u'hand', u'seiner', u'mutter', u'bleibt', u'der', u'kleine', u'forrest', u'mit', u'einer', u'schiene', u'in', u'einem', u'gullygitter', u'stecken']"
60,360.32,362.959,"['in', 'die', 'andere', 'richtung', 'moment', 'mal']"
61,363.32,366.756,"['ok', 'warum', 'starrt', 'ihr', 'alle', 'so']"
62,363.6,365.5,"[u'das', u'muss', u'doch', u'da', u'raus', u'Uebersprechen', u'ss', u'zwei', u'maenner', u'vor', u'einem', u'friseurladen']"
63,366.84,371.118,"['habt', 'ihr', 'noch', 'nie', 'einen', 'jungen', 'mit', 'schienen', 'an', 'den', 'beinen', 'gesehen']"
64,372.32,376.074,"['lass', 'dir', 'nie', 'von', 'einem', 'sagen', 'dass', 'er', 'besser', 'ist', 'als', 'du', 'forrest']"
65,376.16,378.515,"['h\xe4tte', 'gott', 'gewollt', 'dass', 'alle', 'gleich', 'sind']"
66,378.6,381.239,"['h\xe4tte', 'er', 'uns', 'allen', 'beinschienen', 'gegeben']"
67,381.32,384.596,"['mama', 'konnte', 'die', 'dinge', 'immer', 'so', 'erkl\xe4ren', 'dass', 'ich', 'sie', 'verstand']"
68,386.2,389.715,"['wir', 'wohnten', 'etwa', 'meter', 'von', 'der', 'fernstra\xdfe', 'nr', 'entfernt']"
69,389.8,392.598,"['etwa', 'meter', 'von', 'der', 'stadt', 'greenbow', 'in', 'alabama']"
70,392.68,395.478,"['das', 'liegt', 'in', 'greenbow', 'county']"
71,395.56,399.838,"['unser', 'haus', 'war', 'in', 'mamas', 'familie', 'seit', 'der', 'opa', 'ihres', 'opas', 'ihres', 'opas']"
72,399.92,402.992,"['vor', 'etwa', 'jahren', '\xfcber', 'das', 'meer', 'gefahren', 'war']"
73,403.08,407.517,"['da', 'nur', 'ich', 'und', 'mama', 'da', 'wohnten', 'hatten', 'wir', 'all', 'diese', 'leeren', 'r\xe4ume']"
74,407.6,411.752,"['und', 'mama', 'beschloss', 'sie', 'zu', 'vermieten', 'meistens', 'an', 'leute', 'die', 'weiterzogen']"
75,411.84,415.037,"['aus', 'orten', 'wie', 'mobile', 'montgomery']"
76,415.12,420.24,"['so', 'bekamen', 'mama', 'und', 'ich', 'geld', 'mama', 'war', 'eine', 'echt', 'kluge', 'frau']"
77,416.7,418.0,"[u'ss', u'sie', u'steuern', u'aufs', u'haus', u'zu']"
78,420.64,422.471,"['vergiss', 'nicht', 'was', 'ich', 'dir', 'sage']"
79,422.56,425.757,"['du', 'bist', 'auch', 'nicht', 'anders', 'als', 'alle', 'anderen']"
80,425.1,427.0,"[u'vor', u'der', u'breiten', u'veranda', u'bleiben', u'sie', u'stehen']"
81,427.52,432.275,"['hast', 'du', 'mich', 'geh\xf6rt', 'forrest', 'du', 'bist', 'so', 'wie', 'alle', 'anderen']"
82,432.36,434.669,"['du', 'bist', 'nicht', 'anders']"
83,434.1,434.7,"[u'ss', u'ein', u'buero']"
84,434.76,441.029,"['ihr', 'junge', 'ist', 'anders', 'mrs', 'gump', 'er', 'hat', 'einen', 'intelligenzquotient', 'von']"
85,441.12,444.874,"['also', 'wir', 'sind', 'alle', 'anders', 'mr', 'hancock']"
86,445.5,447.9,"[u'ss', u'forrest', u'sitzt', u'neben', u'der', u'offenen', u'tuer', u'im', u'schulflur']"
87,448.04,450.838,"['sie', 'wollte', 'dass', 'ich', 'auf', 'die', 'beste', 'schule', 'gehe']"
88,450.92,454.356,"['deshalb', 'ging', 'sie', 'mit', 'mir', 'zur', 'greenbowcountycentralschule']"
89,454.44,456.51,"['ich', 'lernte', 'den', 'schulleiter', 'und', 'alle', 'kennen']"
90,456.6,459.797,"['ich', 'will', 'ihnen', 'etwas', 'zeigen', 'mrs', 'gump']"
91,459.88,466.319,"['also', 'das', 'ist', 'normal', 'forrest', 'ist', 'genau', 'hier']"
92,467.12,471.557,"['f\xfcr', 'eine', 'staatliche', 'schule', 'ist', 'ein', 'iq', 'von', 'mindestens', 'n\xf6tig']"
93,471.64,475.713,"['mrs', 'gump', 'er', 'muss', 'auf', 'eine', 'sonderschule', 'gehen']"
94,475.8,480.396,"['er', 'macht', 'das', 'schon', 'was', 'hei\xdft', 'normal', 'denn', '\xfcberhaupt']"
95,480.48,485.508,"['er', 'ist', 'vielleicht', 'ein', 'bisschen', 'langsam', 'aber', 'mein', 'forrest']"
96,485.6,488.672,"['soll', 'die', 'gleichen', 'chancen', 'wie', 'alle', 'anderen', 'haben']"
97,488.76,492.878,"['er', 'soll', 'nicht', 'auf', 'einer', 'sonderschule', 'lernen', 'wie', 'man', 'flaschen', 'sortiert']"
98,492.96,496.316,"['wir', 'reden', 'hier', '\xfcber', 'f\xfcnf', 'winzige', 'p\xfcnktchen']"
99,497.56,500.358,"['da', 'muss', 'man', 'doch', 'etwas', 'tun', 'k\xf6nnen']"
100,501.8,504.473,"['wir', 'sind', 'eine', 'progressive', 'schule']"
101,504.88,507.872,"['wir', 'wollen', 'nicht', 'dass', 'einer', 'zur\xfcckbleibt']"
